_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
20182,NY,236,2019-03
20183,SC,240,2019-03
20184,TO,576,2019-03
20185,ET,193,2019-04
20186,NY,290,2019-04
20187,SC,237,2019-04
20188,TO,724,2019-04
20189,ET,235,2019-05
20190,NY,336,2019-05
20191,SC,285,2019-05
20192,TO,879,2019-05
20193,ET,242,2019-06
20194,NY,315,2019-06
20195,SC,280,2019-06
20196,TO,901,2019-06
20197,ET,308,2019-07
20198,NY,407,2019-07
20199,SC,323,2019-07
20200,TO,1079,2019-07
20201,ET,281,2019-08
20202,NY,384,2019-08
20203,SC,329,2019-08
20204,TO,1011,2019-08
20205,ET,220,2019-09
20206,NY,247,2019-09
20207,SC,221,2019-09
20208,TO,738,2019-09
20209,ET,150,2019-10
20210,NY,228,2019-10
20211,SC,172,2019-10
20212,TO,576,2019-10
20213,ET,120,2019-11
20214,NY,198,2019-11
20215,SC,156,2019-11
20216,TO,433,2019-11
20217,ET,122,2019-12
20218,NY,187,2019-12
20219,SC,153,2019-12
20220,TO,393,2019-12
20221,ET,130,2020-01
20222,NY,168,2020-01
20223,SC,171,2020-01
20224,TO,426,2020-01
20225,ET,130,2020-02
20226,NY,184,2020-02
20227,SC,160,2020-02
20228,TO,434,2020-02
20229,ET,101,2020-03
20230,NY,122,2020-03
20231,SC,99,2020-03
20232,TO,294,2020-03
20233,TO,47,2020-04
20234,TO,123,2020-05
20235,NY,167,2020-06
20236,SC,222,2020-06
20237,TO,248,2020-06
20238,NY,718,2020-07
20239,SC,782,2020-07
20240,NY,776,2020-08
20241,SC,637,2020-08
20242,NY,864,2020-09
20243,SC,569,2020-09
20244,NY,536,2020-10
20245,SC,581,2020-10
20246,NY,366,2020-11
20247,SC,320,2020-11
20248,NY,168,2020-12
20249,SC,200,2020-12
20250,NY,286,2021-01
20251,SC,78,2021-01
20252,NY,427,2021-02
20253,SC,108,2021-02
20254,NY,631,2021-03
20255,SC,285,2021-03
20256,ET,1,2021-04
20257,NY,560,2021-04
20258,SC,191,2021-04
20259,NY,518,2021-05
20260,SC,187,2021-05
20261,NY,677,2021-06
20262,SC,215,2021-06
20263,TO,3,2021-06
20264,NY,997,2021-07
20265,SC,375,2021-07
20266,NY,372,2021-08
20267,SC,266,2021-08
20268,TO,922,2021-08
20269,TO,1773,2021-09
20270,TO,1413,2021-10
20271,TO,783,2021-11
20272,NY,1,2021-12
20273,TO,689,2021-12
20274,TO,472,2022-01
20275,TO,536,2022-02
20276,TO,1220,2022-03
20277,TO,1265,2022-04
20278,TO,1269,2022-05
20279,NY,455,2022-06
20280,TO,1658,2022-06
20281,NY,559,2022-07
20282,TO,1507,2022-07
20283,NY,647,2022-08
20284,TO,1656,2022-08
20285,NY,467,2022-09
20286,TO,1108,2022-09
20287,NY,304,2022-10
20288,TO,611,2022-10
20289,NY,329,2022-11
20290,TO,476,2022-11
20291,NY,128,2022-12
20292,TO,556,2022-12
20293,NY,149,2023-01
20294,TO,563,2023-01
20295,NY,156,2023-02
20296,TO,617,2023-02
20297,NY,215,2023-03
20298,TO,929,2023-03
20299,NY,318,2023-04
20300,TO,1086,2023-04
20301,NY,305,2023-05
20302,TO,1507,2023-05
20303,NY,416,2023-06
20304,TO,1507,2023-06
20305,NY,439,2023-07
20306,TO,1628,2023-07
20307,NY,412,2023-08
20308,TO,1649,2023-08
20309,NY,266,2023-09
20310,TO,1156,2023-09
20311,NY,296,2023-10
20312,TO,811,2023-10
20313,NY,260,2023-11
20314,TO,606,2023-11
20315,NY,99,2023-12
20316,TO,646,2023-12
20317,NY,135,2024-01
20318,TO,840,2024-01
20319,NY,193,2024-02
20320,TO,800,2024-02
20321,NY,114,2024-03
20322,TO,1116,2024-03
20323,NY,270,2024-04
20324,TO,1279,2024-04
20325,NY,409,2024-05
20326,TO,1347,2024-05
20327,NY,394,2024-06
20328,TO,1355,2024-06
20329,NY,670,2024-07
20330,TO,1545,2024-07
20331,NY,675,2024-08
20332,TO,1406,2024-08
20333,NY,433,2024-09
20334,TO,944,2024-09
20335,NY,434,2024-10
20336,TO,772,2024-10
20337,NY,321,2024-11
20338,TO,556,2024-11
20339,NY,254,2024-12
20340,TO,529,2024-12
20341,NY,309,2025-01
20342,TO,784,2025-01
20343,NY,262,2025-02
20344,TO,671,2025-02
20345,NY,296,2025-03
20346,TO,802,2025-03
20347,NY,365,2025-04
20348,TO,935,2025-04
